
Line_#	Simulink_#	Time	AcuitySize	Right_Wrong
0	start	334060	13.92	StaticAcuity
1	337425	3520	-1	Show Acuity
2	338645	4790	3	True
3	340052	6256	-1	Show Acuity
4	341451	7714	4	True
5	342931	9256	-1	Show Acuity
6	344318	10700	2	True
7	346425	12895	-1	Show Acuity
8	347745	14270	3	True
9	349558	16159	-1	Show Acuity
10	350991	17652	3	True
11	352564	19291	-1	Show Acuity
12	355051	21881	0	False
13	356438	23326	-1	Show Acuity
14	357764	24708	6	True
15	359418	26430	-1	Show Acuity
16	362132	29258	0	False
17	363745	30938	-1	Show Acuity
18	365037	32285	7	False
19	366464	33771	-1	Show Acuity
20	367864	35229	1	True
21	369311	36736	-1	Show Acuity
22	370591	38070	7	True
23	372084	39625	-1	Show Acuity
24	373357	40952	1	True
25	375417	43098	-1	Show Acuity
26	376711	44445	5	True
27	378817	46640	-1	Show Acuity
28	380064	47939	3	True
29	381497	49432	-1	Show Acuity
30	382711	50696	4	True
31	384237	52286	-1	Show Acuity
32	385524	53626	8	True
33	387264	55439	-1	Show Acuity
34	388464	56689	6	True
35	389924	58210	-1	Show Acuity
36	391250	59592	8	True
37	392524	60918	-1	Show Acuity
38	393851	62301	8	True
39	395724	64252	-1	Show Acuity
40	396984	65565	7	True
41	399131	67801	-1	Show Acuity
42	400424	69148	6	True
43	401644	70419	-1	Show Acuity
44	402844	71669	7	False
45	404258	73142	-1	Show Acuity
46	405504	74440	5	True
47	407330	76343	-1	Show Acuity
48	408597	77662	3	True
49	410197	79329	-1	Show Acuity
50	411317	80496	0	False
51	413077	82329	-1	Show Acuity
52	414337	83642	9	True
53	416150	85531	-1	Show Acuity
54	417610	87052	4	True
55	419351	88865	-1	Show Acuity
56	420583	90149	6	True
57	422185	91817	-1	Show Acuity
58	423217	92893	8	True
59	424510	94240	-1	Show Acuity
60	426010	95802	8	False
61	428163	98045	-1	Show Acuity
62	429404	99337	9	True
63	430957	100955	-1	Show Acuity
64	432623	102692	4	True
65	434550	104699	-1	Show Acuity
66	435544	105734	3	False
67	437330	107595	-1	Show Acuity
68	438510	108824	1	False
69	440543	110942	-1	Show Acuity
70	441776	112227	4	True
71	443643	114171	-1	Show Acuity
72	444890	115470	5	True
73	446510	117158	-1	Show Acuity
74	447729	118429	8	True
75	449156	119915	-1	Show Acuity
76	450450	121262	1	False
77	452043	122922	-1	Show Acuity
78	453336	124269	5	True
79	455476	126499	-1	Show Acuity
80	456576	127644	6	True
81	458176	129311	-1	Show Acuity
82	459256	130436	6	True
83	461263	132527	-1	Show Acuity
84	462903	134235	0	False
85	464843	136256	-1	Show Acuity
86	466050	137513	7	True
87	467823	139361	-1	Show Acuity
88	468896	140479	9	True
89	470483	142131	-1	Show Acuity
90	471843	143548	9	True
91	473936	145729	-1	Show Acuity
92	475256	147104	9	True
93	476496	148396	-1	Show Acuity
94	477716	149666	6	True
95	479022	151028	-1	Show Acuity
96	480183	152237	8	True
97	481716	153834	-1	Show Acuity
98	483156	155334	0	False
99	485110	157369	-1	Show Acuity
100	486309	158619	5	False
101	487683	160049	-1	Show Acuity
102	488876	161292	5	True
103	490483	162966	-1	Show Acuity
104	491723	164258	3	False
105	493356	165959	-1	Show Acuity
106	494582	167237	2	True
107	496029	168744	-1	Show Acuity
108	497263	170029	2	True
109	498916	171751	-1	Show Acuity
110	500062	172946	5	True
111	501430	174370	-1	Show Acuity
112	502629	175619	4	True
113	504316	177377	-1	Show Acuity
114	505550	178662	7	True
115	507015	180189	-1	Show Acuity
116	508242	181467	3	False
117	509695	182981	-1	Show Acuity
118	510749	184078	5	True
119	512076	185460	-1	Show Acuity
120	513289	186725	2	False
121	514662	188155	-1	Show Acuity
122	515882	189426	6	True
123	517142	190739	-1	Show Acuity
124	520102	193822	9	True
125	522275	196086	-1	Show Acuity
126	524349	198246	5	True
127	525815	199774	-1	Show Acuity
128	528849	202934	9	True
129	530649	204809	-1	Show Acuity
130	532549	206788	2	True
131	534675	209003	-1	Show Acuity
132	537082	211510	4	True
133	539242	213761	-1	Show Acuity
134	540648	215226	2	True
135	542528	217184	-1	Show Acuity
136	543922	218636	4	True
137	545795	220587	-1	Show Acuity
138	547215	222066	1	True
139	548562	223470	-1	Show Acuity
140	549782	224741	8	True
141	551888	226935	-1	Show Acuity
142	553582	228699	0	False
143	555215	230401	-1	Show Acuity
144	556768	232018	3	True
145	558288	233602	-1	Show Acuity
146	559528	234894	9	True
147	561409	236853	-1	Show Acuity
148	562749	238248	7	True
149	564002	239554	-1	Show Acuity
150	566961	242637	2	False
151	569088	244853	-1	Show Acuity
152	570395	246214	7	True
153	572321	248221	-1	Show Acuity
154	577121	253221	0	False
155	578748	254916	-1	Show Acuity
156	582048	258354	0	False
157	583528	259896	-1	Show Acuity
158	584855	261277	1	True
159	586641	263138	-1	Show Acuity
160	587895	264444	9	True
161	589394	266007	-1	Show Acuity
162	590608	267270	8	True
163	592714	269465	-1	Show Acuity
164	594015	270819	2	True
165	596061	272951	-1	Show Acuity
166	597355	274299	4	True
167	598634	275632	-1	Show Acuity
168	600174	277236	1	False
169	602041	279181	-1	Show Acuity
170	603354	280549	0	False
171	605048	282313	-1	Show Acuity
172	606348	283667	7	True
173	610674	288175	-1	Show Acuity
174	611934	289487	2	True
175	613874	291508	-1	Show Acuity
176	615381	293078	6	True
177	617314	295092	-1	Show Acuity
178	618547	296376	1	True
179	620081	297974	-1	Show Acuity
180	621368	299314	1	False
181	start	623301	301328.48	DynamicAcuity
182	637947	316586	-1	Show Acuity
183	639753	318468	3	True
184	646287	325274	-1	Show Acuity
185	647768	326817	4	True
186	651347	330545	-1	Show Acuity
187	653187	332462	2	False
188	657348	336796	-1	Show Acuity
189	658634	338137	3	True
190	661880	341518	-1	Show Acuity
191	662787	342462	3	True
192	665434	345220	-1	Show Acuity
193	666307	346129	0	False
194	670547	350546	-1	Show Acuity
195	671793	351845	6	True
196	675107	355297	-1	Show Acuity
197	676754	357012	0	False
198	680067	360464	-1	Show Acuity
199	681367	361818	7	True
